Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.357617, 1, 1, 0, 0, 1, 0
0.759515, 1, 1, 0, 0, 1, 0
1.10063, 0.984117, 0.978789, 0, 0, 0.978789, 0
1.45012, 0.984117, 0.978789, 0, 0, 0.978789, 0
1.84, 0.984117, 0.978789, 0, 0, 0.978789, 0
2.2297, 0.984117, 0.978789, 0, 0, 0.978789, 0
2.57899, 0.984117, 0.978789, 0, 0, 0.978789, 0
2.94434, 0.982454, 0.978789, 0.0649934, 0.0649934, 0.978789, 0
3.31785, 0.979108, 0.978021, 0.706708, 0.706708, 0.978021, 0
3.65901, 0.978954, 0.977669, 1.37265, 1.37265, 0.977669, 0
4.05691, 0.978877, 0.977552, 1.90853, 1.90853, 0.977552, 0
4.45484, 0.978481, 0.977096, 2.44455, 2.44455, 0.977135, 0
4.85267, 0.97829, 0.976901, 2.84243, 2.84243, 0.976823, 0
5.21809, 0.974171, 0.974154, 3.70108, 3.70108, 0.974154, 0
5.60767, 0.973098, 0.970872, 3.70108, 3.70108, 0.970872, 0
6.00546, 0.973098, 0.970872, 3.70108, 3.70108, 0.970872, 0
6.38709, 0.973098, 0.970872, 3.78584, 3.78584, 0.970872, 0
6.78119, 0.972912, 0.970664, 4.4126, 4.4126, 0.970664, 0
7.17106, 0.972912, 0.970664, 5.1246, 5.1246, 0.970664, 0
7.54056, 0.972912, 0.970664, 5.79866, 5.79866, 0.970664, 0
7.89002, 0.972912, 0.970664, 6.33494, 6.33494, 0.970664, 0
8.26811, 0.972912, 0.970664, 7.08688, 7.08688, 0.970664, 0
8.64221, 0.972856, 0.970664, 7.89183, 7.89183, 0.970664, 0
9.032, 0.970881, 0.969076, 8.22247, 8.22247, 0.969076, 0
9.38547, 0.970881, 0.969076, 8.22247, 8.22247, 0.969076, 0
9.72672, 0.970658, 0.968906, 8.35251, 8.35251, 0.968906, 0
10.1127, 0.970329, 0.968359, 8.55569, 8.55569, 0.968359, 0
10.4906, 0.970329, 0.968359, 8.55569, 8.55569, 0.968359, 0
10.8767, 0.970329, 0.968359, 8.55569, 8.55569, 0.968359, 0
11.2222, 0.969006, 0.966784, 8.88907, 8.88907, 0.966784, 0
11.6122, 0.969006, 0.966784, 8.88907, 8.88907, 0.966784, 0
12.0021, 0.969006, 0.966784, 8.88907, 8.88907, 0.966784, 0
12.3434, 0.969006, 0.966784, 8.88907, 8.88907, 0.966784, 0
12.7171, 0.967679, 0.966159, 9.28711, 9.28711, 0.966159, 0
13.1071, 0.964352, 0.962396, 10.0806, 10.0806, 0.962122, 0
13.4851, 0.959231, 0.957917, 10.8121, 10.8121, 0.956445, 0
13.859, 0.955848, 0.954701, 11.5517, 11.5517, 0.953138, 0
14.2369, 0.952229, 0.949779, 12.2182, 12.2182, 0.949779, 0
14.6064, 0.950963, 0.947826, 12.4133, 12.4133, 0.947826, 0
14.9922, 0.945502, 0.945312, 12.8764, 12.8764, 0.94332, 0
15.378, 0.945502, 0.94151, 12.8764, 12.8764, 0.94151, 0
15.7638, 0.943281, 0.94151, 13.0713, 13.0713, 0.940143, 0
16.1415, 0.942096, 0.937904, 13.1444, 13.1444, 0.937904, 0
16.5354, 0.942096, 0.937904, 13.1444, 13.1444, 0.937904, 0
16.8723, 0.942096, 0.937904, 13.1444, 13.1444, 0.937904, 0
17.2377, 0.942096, 0.937904, 13.1444, 13.1444, 0.937904, 0
17.6316, 0.940931, 0.937383, 13.8754, 13.8754, 0.937383, 0
18.0052, 0.940104, 0.936706, 14.4765, 14.4765, 0.936706, 0
18.4032, 0.936233, 0.935312, 15.2806, 15.2806, 0.933047, 0
18.7891, 0.933438, 0.928958, 15.4752, 15.4752, 0.928958, 0
19.1628, 0.933438, 0.928958, 15.4752, 15.4752, 0.928958, 0
19.5486, 0.933438, 0.928958, 15.4752, 15.4752, 0.928958, 0
19.8979, 0.933438, 0.928958, 15.4752, 15.4752, 0.928958, 0
20.2837, 0.933438, 0.928958, 15.4752, 15.4752, 0.928958, 0
20.6532, 0.891338, 0.918919, 16.1242, 16.1242, 0.907956, 0
21.043, 0.881858, 0.874258, 16.2542, 16.2542, 0.874258, 0
21.3799, 0.880285, 0.874258, 16.3191, 16.3191, 0.874258, 0
21.7535, 0.875602, 0.870352, 17.077, 17.077, 0.869635, 0
22.1191, 0.872646, 0.866328, 17.743, 17.743, 0.866875, 0
22.4968, 0.869792, 0.864141, 18.4742, 18.4742, 0.863464, 0
22.8746, 0.867765, 0.860898, 18.9453, 18.9453, 0.859935, 0
23.24, 0.864327, 0.857852, 19.4081, 19.4081, 0.857305, 0
23.5973, 0.861806, 0.855729, 20.139, 20.139, 0.855729, 0
23.979, 0.858235, 0.85112, 21.0078, 21.0078, 0.850456, 0
24.3364, 0.854442, 0.848021, 21.6089, 21.6089, 0.847526, 0
24.7182, 0.850204, 0.843828, 22.4779, 22.4779, 0.842344, 0
25.0634, 0.845908, 0.839818, 23.0054, 23.0054, 0.839023, 0
25.4087, 0.840377, 0.834596, 23.8097, 23.8097, 0.831706, 0
25.7946, 0.82426, 0.820404, 24.5408, 24.5408, 0.817747, 0
26.1805, 0.8091, 0.806029, 25.4102, 25.4102, 0.801445, 0
26.5461, 0.8013, 0.79319, 26.0033, 26.0033, 0.79319, 0
26.8953, 0.796635, 0.788073, 26.7424, 26.7424, 0.786823, 0
27.2569, 0.789348, 0.782813, 27.4086, 27.4086, 0.779883, 0
27.6103, 0.772985, 0.770221, 28.2048, 28.2048, 0.763633, 0
28.0044, 0.735337, 0.729792, 28.8856, 28.8856, 0.724792, 0
28.3699, 0.735337, 0.722799, 28.9506, 28.9506, 0.722656, 0
28.707, 0.733992, 0.722487, 29.5756, 29.5756, 0.722487, 0
29.0603, 0.7339, 0.722422, 30.3714, 30.3714, 0.722422, 0
29.4094, 0.733862, 0.722409, 30.9723, 30.9723, 0.722409, 0
29.7504, 0.73381, 0.722383, 31.638, 31.638, 0.722383, 0
30.0875, 0.733652, 0.722383, 32.4421, 32.4421, 0.722383, 0
30.4613, 0.733617, 0.722383, 33.1083, 33.1083, 0.722383, 0
30.8024, 0.733608, 0.72237, 33.7745, 33.7745, 0.72237, 0
31.1637, 0.733552, 0.722344, 34.5053, 34.5053, 0.722344, 0
31.5172, 0.73355, 0.722344, 35.1714, 35.1714, 0.722344, 0
31.8507, 0.73355, 0.722344, 35.8384, 35.8384, 0.722344, 0
32.2167, 0.73355, 0.722344, 36.5783, 36.5783, 0.722344, 0
32.554, 0.73355, 0.722344, 37.3749, 37.3749, 0.722344, 0
32.9117, 0.733546, 0.722344, 38.1067, 38.1067, 0.722344, 0
33.2694, 0.73354, 0.722331, 38.7084, 38.7084, 0.722331, 0
33.611, 0.733531, 0.722331, 39.5053, 39.5053, 0.722331, 0
33.9808, 0.733529, 0.722331, 40.1068, 40.1068, 0.722331, 0
34.3182, 0.733525, 0.722331, 40.9113, 40.9113, 0.722331, 0
34.6757, 0.733521, 0.722331, 41.2443, 41.2443, 0.722331, 0
35.0374, 0.73351, 0.722331, 41.6506, 41.6506, 0.722318, 0
35.3784, 0.733508, 0.722318, 42.4382, 42.4382, 0.722318, 0
35.7197, 0.733485, 0.722318, 43.1044, 43.1044, 0.722318, 0
36.0568, 0.733463, 0.722292, 43.7706, 43.7706, 0.722292, 0
36.398, 0.73344, 0.722279, 44.4366, 44.4366, 0.722279, 0
36.7514, 0.733435, 0.722266, 45.0379, 45.0379, 0.722266, 0
37.1088, 0.733435, 0.722266, 45.769, 45.769, 0.722266, 0
37.4622, 0.733433, 0.722266, 46.5082, 46.5082, 0.722266, 0
37.8198, 0.73339, 0.722201, 47.1747, 47.1747, 0.722201, 0
