Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,random
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.345219, 1, 1, 0, 0, 1, 0
0.682266, 1, 1, 0, 0, 1, 0
1.0231, 0.979771, 0.978932, 0.202876, 0.202876, 0.978437, 0
1.39668, 0.979277, 0.978099, 0.801156, 0.801156, 0.978086, 0
1.76617, 0.979085, 0.977943, 1.53193, 1.53193, 0.977839, 0
2.15623, 0.978906, 0.977773, 2.00318, 2.00318, 0.977773, 0
2.55006, 0.978479, 0.977253, 2.53932, 2.53932, 0.977148, 0
2.92779, 0.978185, 0.977044, 2.93727, 2.93727, 0.977005, 0
3.30553, 0.974067, 0.976198, 3.59471, 3.59471, 0.972253, 0
3.69135, 0.972583, 0.970703, 3.77509, 3.77509, 0.970703, 0
4.08516, 0.972583, 0.970443, 3.77509, 3.77509, 0.970443, 0
4.46282, 0.972583, 0.970443, 3.77509, 3.77509, 0.970443, 0
4.84455, 0.972583, 0.970443, 3.77509, 3.77509, 0.970443, 0
5.21815, 0.972583, 0.970443, 3.77509, 3.77509, 0.970443, 0
5.59578, 0.972583, 0.970443, 3.77509, 3.77509, 0.970443, 0
5.96129, 0.970869, 0.969297, 4.23814, 4.23814, 0.969297, 0
6.35524, 0.970869, 0.968893, 4.23814, 4.23814, 0.968893, 0
6.72891, 0.970869, 0.968893, 4.23814, 4.23814, 0.968893, 0
7.08635, 0.970869, 0.968893, 4.23814, 4.23814, 0.968893, 0
7.47997, 0.970869, 0.968893, 4.23814, 4.23814, 0.968893, 0
7.87386, 0.970396, 0.968724, 4.57113, 4.57113, 0.968724, 0
8.23528, 0.970344, 0.968268, 4.57113, 4.57113, 0.968268, 0
8.60474, 0.970344, 0.968268, 4.57113, 4.57113, 0.968268, 0
8.94995, 0.970344, 0.968268, 4.57113, 4.57113, 0.968268, 0
9.34417, 0.970344, 0.968268, 4.57113, 4.57113, 0.968268, 0
9.7504, 0.970344, 0.968268, 4.57113, 4.57113, 0.968268, 0
10.1281, 0.967735, 0.965911, 4.94631, 4.94631, 0.965911, 0
10.5098, 0.967735, 0.965911, 4.94631, 4.94631, 0.965911, 0
10.8957, 0.967735, 0.965911, 4.94631, 4.94631, 0.965911, 0
11.2775, 0.967735, 0.965911, 4.94631, 4.94631, 0.965911, 0
11.639, 0.967735, 0.965911, 4.94631, 4.94631, 0.965911, 0
11.976, 0.96751, 0.965911, 5.30108, 5.30108, 0.965586, 0
12.3332, 0.967477, 0.965573, 5.30108, 5.30108, 0.965573, 0
12.7147, 0.967477, 0.965573, 5.30108, 5.30108, 0.965573, 0
13.0801, 0.967477, 0.965573, 5.39052, 5.39052, 0.965573, 0
13.4536, 0.966565, 0.963411, 5.47996, 5.47996, 0.963411, 0
13.8435, 0.965215, 0.962357, 5.74408, 5.74408, 0.962357, 0
14.2008, 0.962856, 0.959961, 6.01413, 6.01413, 0.959961, 0
14.5865, 0.962856, 0.959961, 6.01413, 6.01413, 0.959961, 0
14.9722, 0.962856, 0.959961, 6.01413, 6.01413, 0.959961, 0
15.3294, 0.962856, 0.959961, 6.01413, 6.01413, 0.959961, 0
15.695, 0.962856, 0.959961, 6.01413, 6.01413, 0.959961, 0
16.0889, 0.962856, 0.959961, 6.01413, 6.01413, 0.959961, 0
16.4503, 0.961756, 0.958685, 6.21484, 6.21484, 0.958685, 0
16.828, 0.961756, 0.958685, 6.21484, 6.21484, 0.958685, 0
17.2219, 0.961756, 0.958685, 6.21484, 6.21484, 0.958685, 0
17.616, 0.961756, 0.958685, 6.21484, 6.21484, 0.958685, 0
17.9814, 0.961756, 0.958685, 6.21484, 6.21484, 0.958685, 0
18.3672, 0.960142, 0.958685, 6.48294, 6.48294, 0.956484, 0
18.7287, 0.956583, 0.953997, 7.21412, 7.21412, 0.953216, 0
19.0942, 0.952781, 0.950625, 7.95315, 7.95315, 0.950104, 0
19.4842, 0.951873, 0.948906, 8.08314, 8.08314, 0.948906, 0
19.8537, 0.947248, 0.947474, 8.61919, 8.61919, 0.945716, 0
20.2233, 0.942933, 0.940026, 8.88323, 8.88323, 0.938385, 0
20.5969, 0.942933, 0.938385, 8.88323, 8.88323, 0.938385, 0
20.9785, 0.940498, 0.936237, 9.20869, 9.20869, 0.936237, 0
21.356, 0.940498, 0.936237, 9.20869, 9.20869, 0.936237, 0
21.7214, 0.940381, 0.936237, 9.33864, 9.33864, 0.936237, 0
22.091, 0.939956, 0.935964, 10.0769, 10.0769, 0.935964, 0
22.4565, 0.938792, 0.935625, 10.8079, 10.8079, 0.93526, 0
22.8423, 0.935342, 0.933177, 11.6767, 11.6767, 0.931406, 0
23.1996, 0.93295, 0.928555, 11.7417, 11.7417, 0.928555, 0
23.5651, 0.93295, 0.928555, 11.7417, 11.7417, 0.928555, 0
23.9549, 0.930875, 0.928555, 11.9361, 11.9361, 0.928555, 0
24.3283, 0.880233, 0.875521, 12.6749, 12.6749, 0.875521, 0
24.6776, 0.876429, 0.870924, 13.4698, 13.4698, 0.869635, 0
25.047, 0.87295, 0.866419, 14.2007, 14.2007, 0.865755, 0
25.3923, 0.870033, 0.863451, 14.8668, 14.8668, 0.862552, 0
25.7579, 0.866785, 0.860612, 15.541, 15.541, 0.859219, 0
26.0949, 0.863092, 0.855938, 16.2069, 16.2069, 0.85513, 0
26.4523, 0.859244, 0.85276, 16.9379, 16.9379, 0.852214, 0
26.8216, 0.855148, 0.848919, 17.6686, 17.6686, 0.848385, 0
27.1627, 0.851571, 0.845052, 18.3345, 18.3345, 0.843594, 0
27.508, 0.847983, 0.840547, 19.1387, 19.1387, 0.839557, 0
27.8938, 0.842879, 0.835612, 19.8047, 19.8047, 0.834076, 0
28.2471, 0.831148, 0.825404, 20.5357, 20.5357, 0.822083, 0
28.6083, 0.815227, 0.810508, 21.3394, 21.3394, 0.805573, 0
28.9576, 0.803133, 0.796016, 21.9406, 21.9406, 0.794141, 0
29.2987, 0.796885, 0.786862, 22.7364, 22.7364, 0.786862, 0
29.648, 0.788715, 0.781432, 23.3376, 23.3376, 0.780534, 0
29.9893, 0.777496, 0.773268, 24.1338, 24.1338, 0.770872, 0
