Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,random
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.354018, 1, 1, 0, 0, 1, 0
0.719343, 1, 1, 0, 0, 1, 0
1.06064, 0.928519, 0.917361, 0.0974327, 0.0974327, 0.917361, 0
1.39776, 0.92445, 0.914792, 0.397999, 0.397999, 0.914583, 0
1.76722, 0.923108, 0.913611, 0.495583, 0.495583, 0.913611, 0
2.10418, 0.923108, 0.913611, 0.528036, 0.528036, 0.913611, 0
2.47374, 0.921969, 0.912431, 0.929107, 0.929107, 0.912431, 0
2.84327, 0.919547, 0.910139, 1.26207, 1.26207, 0.909583, 0
3.21275, 0.917433, 0.907431, 1.62751, 1.62751, 0.907361, 0
3.58223, 0.915097, 0.905486, 1.99294, 1.99294, 0.905347, 0
3.95171, 0.912842, 0.904375, 2.36246, 2.36246, 0.904028, 0
4.32117, 0.910525, 0.901458, 2.7278, 2.7278, 0.901319, 0
4.69066, 0.908653, 0.899514, 3.09324, 3.09324, 0.899514, 0
5.06003, 0.906364, 0.897431, 3.49508, 3.49508, 0.897431, 0
5.42954, 0.904511, 0.895556, 3.89302, 3.89302, 0.895347, 0
5.79907, 0.901967, 0.892708, 4.23007, 4.23007, 0.892708, 0
6.15236, 0.900011, 0.891181, 4.56305, 4.56305, 0.890833, 0
6.5219, 0.899178, 0.890069, 4.74408, 4.74408, 0.890069, 0
6.88735, 0.898936, 0.889792, 4.84935, 4.84935, 0.889792, 0
7.25281, 0.898453, 0.889444, 4.92248, 4.92248, 0.889444, 0
7.62233, 0.898453, 0.889444, 4.92248, 4.92248, 0.889444, 0
7.98776, 0.898453, 0.889444, 4.92248, 4.92248, 0.889444, 0
8.3573, 0.896686, 0.887708, 5.28789, 5.28789, 0.886667, 0
8.72274, 0.894089, 0.884792, 5.65742, 5.65742, 0.884236, 0
9.09218, 0.890461, 0.88125, 6.05527, 6.05527, 0.88125, 0
9.4292, 0.888128, 0.878958, 6.38822, 6.38822, 0.878889, 0
9.7946, 0.886161, 0.876806, 6.79018, 6.79018, 0.876806, 0
10.16, 0.883922, 0.874792, 7.09063, 7.09063, 0.874514, 0
10.5296, 0.881994, 0.872431, 7.52108, 7.52108, 0.872361, 0
10.8952, 0.880278, 0.870694, 7.89075, 7.89075, 0.870347, 0
11.2608, 0.878947, 0.869444, 8.15898, 8.15898, 0.869306, 0
11.6266, 0.877403, 0.867361, 8.55714, 8.55714, 0.867292, 0
11.9962, 0.876578, 0.866458, 8.7237, 8.7237, 0.866458, 0
