Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,seqtargets
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.365335, 1, 1, 0, 0, 1, 0
0.702616, 1, 1, 0, 0, 1, 0
1.08863, 0.979492, 0.978711, 0.601379, 0.601379, 0.978177, 0
1.48689, 0.979271, 0.978021, 1.39782, 1.39782, 0.97793, 0
1.82392, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
2.2137, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
2.55907, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
2.90013, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
3.24951, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
3.58669, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
3.98471, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
4.33812, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
4.72813, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
5.06541, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
5.40696, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
5.74404, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
6.08138, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
6.45096, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
6.82096, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
7.1906, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
7.55601, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
7.89725, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
8.27508, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
8.66087, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
8.99792, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
9.3918, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
9.7369, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
10.074, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
10.4151, 0.979256, 0.977917, 1.60089, 1.60089, 0.977917, 0
