Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,dmcts
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.349489, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.714669, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.07153, 0.911783, 0.886181, 0, 0, 0.907014, 0, 0.886181, 0, 0.886181, 0
1.40854, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
1.76175, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
2.1188, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
2.46801, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
2.84147, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
3.19459, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
3.54346, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
3.88847, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
4.23353, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
4.57849, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
4.91942, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
5.27649, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
5.63743, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
5.99044, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
6.34367, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
6.70513, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
7.05839, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
7.4358, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
7.80933, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
8.15816, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
8.50711, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
8.86022, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
9.20921, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
9.58665, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
9.93551, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
10.313, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
10.6822, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
11.0393, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
11.3924, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
11.7452, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
12.1062, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
12.4555, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
12.8087, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
13.1617, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
13.5148, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
13.8843, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
14.2334, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
14.5824, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
14.9437, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
15.2804, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
