Package version:,2.1.7
Scenario:,tunnels_45
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.406214, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.77182, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.13318, 0.983288, 0.9806, 0, 0, 0.9806, 0, 0.981975, 0, 0.981975, 0
1.47037, 0.983288, 0.9806, 0, 0, 0.9806, 0, 0.9806, 0, 0.9806, 0
1.81562, 0.983288, 0.9806, 0, 0, 0.9806, 0, 0.9806, 0, 0.9806, 0
2.15644, 0.983288, 0.9806, 0.0648521, 0.0648521, 0.9806, 0, 0.9806, 0, 0.9806, 0
2.54999, 0.982633, 0.98035, 0.730354, 0.730354, 0.9803, 0, 0.98035, 0, 0.98035, 0
2.93569, 0.982154, 0.979975, 1.53402, 1.53402, 0.979825, 0, 0.979975, 0, 0.979825, 0
3.27268, 0.98177, 0.9795, 2.5248, 2.1269, 0.979425, 0.397905, 0.9795, 0, 0.9795, 0
3.61354, 0.981399, 0.979125, 3.85574, 2.79217, 0.97905, 1.06357, 0.979125, 0, 0.979125, 0
3.97054, 0.980854, 0.97865, 5.38925, 3.52239, 0.978375, 1.86686, 0.978425, 0, 0.978425, 0
4.35198, 0.980818, 0.978175, 6.18446, 3.52239, 0.978175, 2.66206, 0.978175, 0, 0.978175, 0
4.73751, 0.980818, 0.978175, 6.84993, 3.52239, 0.978175, 3.32754, 0.978175, 0, 0.978175, 0
5.07856, 0.980818, 0.978175, 7.5159, 3.52239, 0.978175, 3.9935, 0.978175, 0, 0.978175, 0
5.41952, 0.9805, 0.978175, 8.72527, 4.05805, 0.978075, 4.66722, 0.978175, 0, 0.978175, 0
5.79304, 0.980214, 0.977525, 9.65089, 4.18799, 0.977525, 5.4629, 0.977525, 0, 0.977525, 0
6.18272, 0.980188, 0.977525, 10.5196, 4.18799, 0.977525, 6.33163, 0.977525, 0, 0.977525, 0
6.56416, 0.979748, 0.9773, 11.1848, 4.18799, 0.9773, 6.99679, 0.9772, 0, 0.9773, 0
6.91302, 0.979164, 0.976825, 11.8497, 4.18799, 0.976825, 7.66175, 0.97665, 0, 0.976825, 0
7.29452, 0.978399, 0.97595, 12.9211, 4.39094, 0.976125, 8.53013, 0.975725, 0, 0.97595, 0
7.67209, 0.978058, 0.97535, 13.7899, 5.05683, 0.97535, 8.73309, 0.97535, 0, 0.97535, 0
8.06166, 0.977981, 0.97535, 14.6583, 5.9252, 0.975325, 8.73309, 0.97535, 0, 0.97535, 0
8.42289, 0.977923, 0.975275, 15.324, 6.59086, 0.975225, 8.73309, 0.975275, 0, 0.975275, 0
8.76394, 0.977797, 0.975125, 16.0546, 7.25659, 0.975025, 8.79803, 0.975125, 0, 0.97505, 0
9.1372, 0.977349, 0.974825, 16.923, 8.12496, 0.974725, 8.79803, 0.974825, 0, 0.974825, 0
9.53109, 0.97684, 0.97425, 17.6539, 8.85585, 0.973975, 8.79803, 0.9741, 0, 0.97425, 0
9.90446, 0.976545, 0.9737, 17.8569, 9.05891, 0.9737, 8.79803, 0.9737, 0, 0.9737, 0
10.2455, 0.976545, 0.9737, 17.8569, 9.05891, 0.9737, 8.79803, 0.9737, 0, 0.9737, 0
10.5906, 0.976545, 0.9737, 18.0602, 9.05891, 0.9737, 9.00127, 0.9737, 0, 0.9737, 0
10.9274, 0.976146, 0.9737, 19.1313, 9.5295, 0.97345, 9.60184, 0.97345, 0, 0.9737, 0
11.2802, 0.975572, 0.9729, 20.4477, 10.1806, 0.9728, 10.267, 0.97295, 0, 0.9729, 0
11.6656, 0.97538, 0.9726, 22.0342, 10.9754, 0.972575, 11.0588, 0.9726, 0, 0.9726, 0
12.0553, 0.975214, 0.972325, 23.511, 11.5958, 0.972325, 11.9152, 0.972475, 0, 0.972325, 0
12.4447, 0.975209, 0.9723, 23.8256, 11.7726, 0.9723, 12.053, 0.9723, 0, 0.9723, 0
12.8384, 0.975209, 0.9723, 24.2117, 11.7726, 0.9723, 12.4391, 0.9723, 0, 0.9723, 0
13.2278, 0.975209, 0.9723, 24.4145, 11.9754, 0.9723, 12.4391, 0.9723, 0, 0.9723, 0
13.6053, 0.975071, 0.972225, 25.0804, 12.6414, 0.97215, 12.4391, 0.97215, 0, 0.97215, 0
13.9504, 0.97505, 0.9721, 25.6077, 12.9656, 0.9721, 12.6421, 0.9721, 0, 0.9721, 0
14.2872, 0.97505, 0.9721, 25.7376, 13.0955, 0.9721, 12.6421, 0.9721, 0, 0.9721, 0
14.6725, 0.974756, 0.97205, 26.5404, 13.8983, 0.9719, 12.6421, 0.97205, 0, 0.97205, 0
15.058, 0.974236, 0.971325, 28.0746, 14.7669, 0.971125, 13.3077, 0.971325, 0, 0.971475, 0
15.4436, 0.97364, 0.97075, 29.4062, 15.4327, 0.97065, 13.9735, 0.97075, 0, 0.97075, 0
15.7845, 0.973112, 0.97025, 30.7368, 16.098, 0.970175, 14.6388, 0.97025, 0, 0.97025, 0
16.1214, 0.972575, 0.969725, 32.3367, 16.8939, 0.969575, 15.4428, 0.969725, 0, 0.969725, 0
16.4787, 0.972004, 0.96905, 33.5301, 17.4946, 0.96905, 16.0354, 0.96905, 0, 0.96905, 0
16.8277, 0.971556, 0.96855, 35.2672, 18.3632, 0.96835, 16.904, 0.968475, 0, 0.968475, 0
17.1689, 0.970995, 0.96785, 36.3394, 18.8993, 0.96785, 17.4401, 0.96785, 0, 0.96785, 0
17.5667, 0.970406, 0.9673, 37.9308, 19.695, 0.9671, 18.2358, 0.9673, 0, 0.9671, 0
17.9077, 0.969818, 0.96675, 39.2622, 20.3607, 0.966625, 18.9015, 0.96675, 0, 0.96675, 0
18.2527, 0.969231, 0.966275, 40.7318, 21.0265, 0.9659, 19.7053, 0.966125, 0, 0.9659, 0
18.6141, 0.968504, 0.965275, 42.0718, 21.7655, 0.96515, 20.3063, 0.965275, 0, 0.965275, 0
19.0078, 0.967949, 0.96465, 43.4679, 22.2281, 0.964575, 21.2398, 0.96465, 0, 0.964575, 0
19.3569, 0.967936, 0.964575, 43.8658, 22.2281, 0.964575, 21.6377, 0.964575, 0, 0.964575, 0
19.7302, 0.967936, 0.964575, 43.8658, 22.2281, 0.964575, 21.6377, 0.964575, 0, 0.964575, 0
20.0832, 0.967526, 0.96445, 44.2635, 22.6258, 0.9641, 21.6377, 0.96445, 0, 0.96445, 0
20.4485, 0.966797, 0.963725, 45.5297, 23.4942, 0.963475, 22.0355, 0.963725, 0, 0.963475, 0
20.8178, 0.965934, 0.9629, 46.7309, 24.0948, 0.962525, 22.6361, 0.9627, 0, 0.9627, 0
21.1751, 0.964923, 0.96175, 48.1927, 24.8257, 0.961425, 23.367, 0.961625, 0, 0.961825, 0
21.5566, 0.963843, 0.960625, 49.8, 25.6294, 0.960375, 24.1706, 0.96055, 0, 0.960625, 0
21.9098, 0.962793, 0.959525, 51.1312, 26.3599, 0.9593, 24.7713, 0.9594, 0, 0.959525, 0
22.2589, 0.962675, 0.959025, 51.1312, 26.3599, 0.959025, 24.7713, 0.959025, 0, 0.959025, 0
22.5957, 0.962675, 0.959025, 51.1312, 26.3599, 0.959025, 24.7713, 0.959025, 0, 0.959025, 0
22.9854, 0.962675, 0.959025, 51.1312, 26.3599, 0.959025, 24.7713, 0.959025, 0, 0.959025, 0
