Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.35731, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.722993, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.06784, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
1.44918, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
1.83062, 0.905742, 0.885208, 0.296197, 0.296197, 0.885139, 0, 0.885417, 0, 0.885208, 0
2.1757, 0.902694, 0.883958, 0.730545, 0.596647, 0.883819, 0, 0.884236, 0.133898, 0.884236, 0
2.52472, 0.892436, 0.881389, 1.56009, 0.927104, 0.880764, 0.166347, 0.880972, 0.466641, 0.880556, 0
2.87804, 0.888128, 0.877222, 2.46569, 1.32913, 0.877569, 0.267876, 0.877222, 0.868691, 0.877361, 0
3.26762, 0.885536, 0.874583, 3.20022, 1.73089, 0.874306, 0.267876, 0.874583, 1.20146, 0.874583, 0
3.62085, 0.883892, 0.872431, 3.5656, 2.06379, 0.872222, 0.267876, 0.872778, 1.23393, 0.872778, 0
3.98218, 0.882236, 0.870625, 3.89859, 2.39678, 0.870625, 0.267876, 0.870625, 1.23393, 0.870625, 0
4.31903, 0.880425, 0.869236, 4.23134, 2.72953, 0.869097, 0.267876, 0.869236, 1.23393, 0.869583, 0
4.66415, 0.877575, 0.866944, 4.86474, 3.06244, 0.866458, 0.568359, 0.866042, 1.23393, 0.866181, 0
5.01325, 0.873994, 0.862361, 5.72931, 3.4278, 0.862917, 0.97025, 0.862361, 1.33126, 0.863056, 0
5.38668, 0.869617, 0.858125, 6.89841, 3.82968, 0.857986, 1.33559, 0.857847, 1.73314, 0.858125, 0
5.73169, 0.865494, 0.853333, 7.79954, 4.13005, 0.853194, 1.63597, 0.853056, 2.03352, 0.853056, 0
6.07249, 0.8606, 0.84875, 8.91139, 4.51165, 0.848542, 2.00112, 0.847986, 2.39862, 0.848681, 0
6.4174, 0.858369, 0.846111, 9.37818, 4.51165, 0.845347, 2.33395, 0.845278, 2.53258, 0.845347, 0
6.75857, 0.8564, 0.843819, 9.71109, 4.51165, 0.843819, 2.66686, 0.843472, 2.53258, 0.843819, 0
7.10355, 0.854375, 0.842431, 10.2428, 4.51165, 0.841875, 3.06868, 0.842292, 2.66245, 0.842361, 0
7.44459, 0.852169, 0.840486, 10.9451, 4.51165, 0.839931, 3.40159, 0.840069, 3.03184, 0.840347, 0
7.78147, 0.8505, 0.838056, 11.6108, 4.54414, 0.838056, 3.70196, 0.837708, 3.36475, 0.837986, 0
8.15891, 0.846856, 0.833403, 12.7837, 4.94184, 0.832986, 4.07937, 0.833264, 3.76245, 0.832917, 0
8.51212, 0.842647, 0.829028, 13.8919, 5.31128, 0.829028, 4.44873, 0.828681, 4.13188, 0.828889, 0
8.85312, 0.839053, 0.824306, 14.8093, 5.63002, 0.824514, 4.74696, 0.824167, 4.4323, 0.824097, 0
9.19413, 0.834428, 0.820764, 15.5722, 5.93024, 0.820069, 5.11228, 0.820069, 4.5297, 0.820069, 0
9.53497, 0.831717, 0.817361, 16.1044, 6.26299, 0.817083, 5.31168, 0.8175, 4.5297, 0.817083, 0
9.8799, 0.829697, 0.815139, 16.4696, 6.62824, 0.815139, 5.31168, 0.815278, 4.5297, 0.815278, 0
10.2208, 0.827897, 0.813403, 16.7942, 6.95284, 0.812986, 5.31168, 0.812986, 4.5297, 0.813403, 0
10.5659, 0.826703, 0.811944, 17.3301, 7.35466, 0.811597, 5.44571, 0.811944, 4.5297, 0.812292, 0
10.9066, 0.824933, 0.809583, 18.1252, 7.68728, 0.809444, 5.81087, 0.809514, 4.62702, 0.809444, 0
11.2476, 0.820517, 0.806111, 19.0911, 7.98763, 0.805694, 6.17611, 0.804931, 4.92736, 0.805833, 0
11.5844, 0.815319, 0.800208, 20.1218, 8.35288, 0.799583, 6.47636, 0.800208, 5.29261, 0.800139, 0
11.9251, 0.811419, 0.795486, 20.785, 8.3894, 0.795556, 6.80284, 0.795347, 5.59278, 0.795625, 0
12.3108, 0.8089, 0.793333, 21.5562, 8.3894, 0.793056, 7.20466, 0.793056, 5.96216, 0.793056, 0
12.6684, 0.807303, 0.791181, 22.056, 8.3894, 0.791042, 7.30623, 0.791042, 6.36038, 0.791042, 0
13.0053, 0.805125, 0.788819, 22.6892, 8.68975, 0.789028, 7.30623, 0.788819, 6.69322, 0.788819, 0
13.3424, 0.802578, 0.786389, 23.4284, 9.05933, 0.786111, 7.30623, 0.786389, 7.0628, 0.786389, 0
13.6792, 0.799814, 0.783542, 24.0939, 9.39212, 0.783542, 7.30623, 0.783542, 7.39559, 0.783958, 0
14.0161, 0.796531, 0.780139, 24.6945, 9.69242, 0.779792, 7.30623, 0.780208, 7.69588, 0.779931, 0
14.3895, 0.792797, 0.777153, 25.4251, 10.0577, 0.776597, 7.30623, 0.777083, 8.06115, 0.776944, 0
14.7387, 0.789225, 0.773958, 26.1885, 10.4556, 0.772569, 7.30623, 0.773958, 8.42666, 0.773681, 0
15.1161, 0.784781, 0.769306, 26.9595, 10.8249, 0.768611, 7.30623, 0.769306, 8.8284, 0.768819, 0
15.4934, 0.780742, 0.764722, 27.6569, 11.1574, 0.764375, 7.3387, 0.764722, 9.16071, 0.763889, 0
15.8466, 0.776203, 0.759375, 28.7897, 11.5229, 0.759236, 7.74072, 0.759444, 9.5261, 0.759583, 0
16.22, 0.772083, 0.756111, 29.5607, 11.5919, 0.755069, 8.07345, 0.755278, 9.89536, 0.754583, 0
16.5933, 0.768883, 0.752847, 30.2912, 11.5919, 0.752153, 8.43871, 0.752639, 10.2606, 0.752292, 0
