Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,random
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.348999, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.714467, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.05539, 0.895969, 0.885, 0.832182, 0.365325, 0.885139, 0.235464, 0.885, 0.231393, 0.885139, 0
1.40417, 0.893603, 0.884028, 1.73234, 0.665378, 0.88375, 0.535517, 0.883542, 0.531446, 0.88375, 0
1.75319, 0.892364, 0.882361, 2.93367, 1.06717, 0.8825, 0.933256, 0.882361, 0.933241, 0.8825, 0
2.13073, 0.890931, 0.880903, 3.93627, 1.40002, 0.880903, 1.27016, 0.880556, 1.26609, 0.880556, 0
2.49205, 0.889208, 0.879028, 5.12986, 1.79788, 0.879097, 1.63553, 0.878611, 1.69645, 0.879028, 0
2.84115, 0.887339, 0.877847, 6.09612, 2.09833, 0.8775, 2.03339, 0.877222, 1.9644, 0.8775, 0
3.18191, 0.885025, 0.875069, 7.16686, 2.4999, 0.875069, 2.33348, 0.875069, 2.33348, 0.875347, 0
3.53091, 0.882528, 0.872778, 8.33173, 2.86518, 0.872778, 2.73531, 0.872639, 2.73124, 0.8725, 0
3.90415, 0.879222, 0.868611, 9.33357, 3.20183, 0.869375, 3.06791, 0.868819, 3.06383, 0.869167, 0
4.26969, 0.875894, 0.866389, 10.5359, 3.59989, 0.865903, 3.47002, 0.865972, 3.46595, 0.866389, 0
4.63083, 0.872606, 0.862569, 11.6315, 3.9651, 0.863264, 3.83524, 0.862569, 3.83117, 0.862917, 0
4.96764, 0.869767, 0.859444, 12.6298, 4.29785, 0.859444, 4.16799, 0.859722, 4.16392, 0.859514, 0
5.3371, 0.867506, 0.857014, 13.4037, 4.63487, 0.857014, 4.50094, 0.857014, 4.26793, 0.857014, 0
5.6903, 0.866347, 0.855625, 14.1344, 5.00019, 0.855625, 4.86627, 0.855486, 4.26793, 0.855694, 0
6.03529, 0.864653, 0.853958, 15.2018, 5.36549, 0.853958, 5.23563, 0.853958, 4.6007, 0.853958, 0
6.39651, 0.862892, 0.852361, 16.3017, 5.73483, 0.852153, 5.60091, 0.852222, 4.96598, 0.852153, 0
6.74553, 0.861183, 0.850556, 17.2026, 6.03513, 0.850069, 5.90121, 0.850069, 5.26629, 0.850278, 0
7.09435, 0.859275, 0.848194, 18.302, 6.40023, 0.848194, 6.26633, 0.848333, 5.63545, 0.848125, 0
7.44725, 0.857231, 0.845486, 19.3363, 6.73283, 0.845625, 6.60297, 0.845556, 6.00053, 0.845486, 0
7.8085, 0.854767, 0.842778, 20.3997, 7.09813, 0.842778, 6.96827, 0.842708, 6.33335, 0.842708, 0
8.15359, 0.852181, 0.840486, 21.504, 7.46756, 0.840625, 7.33363, 0.840347, 6.70277, 0.840069, 0
8.51078, 0.849303, 0.837431, 22.5025, 7.80041, 0.837708, 7.66649, 0.837361, 7.03562, 0.837639, 0
8.85168, 0.846572, 0.834236, 23.6023, 8.16565, 0.834236, 8.03579, 0.834306, 7.40087, 0.83375, 0
9.2373, 0.843697, 0.831667, 24.3327, 8.49847, 0.831944, 8.10074, 0.831458, 7.73352, 0.831458, 0
9.59045, 0.841903, 0.829861, 25.0675, 8.86787, 0.83, 8.10074, 0.829861, 8.09886, 0.83, 0
9.96788, 0.839653, 0.827917, 25.8989, 9.23315, 0.827917, 8.40106, 0.827847, 8.26469, 0.827917, 0
10.3089, 0.836614, 0.825, 26.9299, 9.5335, 0.824444, 8.7664, 0.824444, 8.63003, 0.824444, 0
10.6862, 0.832625, 0.820903, 27.7293, 9.5335, 0.819722, 9.16404, 0.820625, 9.03173, 0.819722, 0
11.0718, 0.828492, 0.815903, 28.4635, 9.59839, 0.816597, 9.50091, 0.815903, 9.36419, 0.815625, 0
11.4088, 0.825239, 0.813194, 29.3651, 9.96378, 0.81375, 9.8663, 0.813194, 9.53498, 0.81375, 0
11.7986, 0.823728, 0.811875, 30.1002, 10.3334, 0.812014, 10.2318, 0.811875, 9.53498, 0.811875, 0
12.1477, 0.822294, 0.810556, 30.7659, 10.6662, 0.810556, 10.5647, 0.809931, 9.53498, 0.810556, 0
12.5212, 0.819311, 0.806528, 31.8466, 11.0122, 0.8075, 10.999, 0.806528, 9.83532, 0.806528, 0
12.8825, 0.815819, 0.803542, 32.9791, 11.4141, 0.803542, 11.3319, 0.804167, 10.2331, 0.803125, 0
13.2315, 0.812039, 0.799722, 34.1479, 11.8118, 0.799722, 11.7336, 0.799931, 10.6024, 0.799444, 0
13.5804, 0.808622, 0.795903, 34.9472, 12.1121, 0.795486, 12.0339, 0.795486, 10.8012, 0.795486, 0
13.9497, 0.806783, 0.793125, 35.7467, 12.5139, 0.793819, 12.4316, 0.793125, 10.8012, 0.793125, 0
14.3108, 0.804197, 0.791181, 36.7093, 12.879, 0.791181, 12.8008, 0.790833, 11.0296, 0.79125, 0
