Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,rrt
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.361259, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.726705, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.09582, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
1.45286, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
1.80186, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
2.1628, 0.911783, 0.886181, 0.0649923, 0, 0.886181, 0.0649923, 0.886181, 0, 0.886181, 0
2.5076, 0.897286, 0.883611, 0.596405, 0.198822, 0.883403, 0.397583, 0.883333, 0, 0.883611, 0
2.84836, 0.889914, 0.879722, 1.3632, 0.499056, 0.879444, 0.697818, 0.879514, 0.166328, 0.879722, 0
3.21367, 0.886036, 0.876042, 2.12588, 0.859962, 0.875625, 1.09959, 0.875417, 0.166328, 0.875417, 0
3.56253, 0.882103, 0.871944, 3.05866, 1.26131, 0.871458, 1.43226, 0.871736, 0.365092, 0.871597, 0
3.90326, 0.87695, 0.865764, 4.09292, 1.56145, 0.866458, 1.80135, 0.867222, 0.730123, 0.866944, 0
4.25627, 0.872519, 0.861597, 5.22495, 1.95907, 0.860903, 2.16652, 0.861111, 1.09935, 0.861389, 0
4.59709, 0.867633, 0.857014, 6.19062, 2.29179, 0.85625, 2.46677, 0.856875, 1.43207, 0.856528, 0
4.97425, 0.862406, 0.851806, 7.22488, 2.62842, 0.852153, 2.83181, 0.852708, 1.76465, 0.852361, 0
5.34754, 0.858017, 0.847222, 8.52317, 3.05848, 0.845764, 3.26593, 0.846389, 2.19876, 0.846944, 0
